property_name,city,rating,room_type,amenities,description,url,image_url,price_range,pet_friendly,bedrooms,location_details,raw_html,property_id,building_type,suite_features
The Duet,Victoria,5.0,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Terrace', 'Garden']",The Duet Victoria 5.0,https://premieresuites.com/furnished-apartments/victoria/the-duet/,https://premiereweb.premieresuites.com/thumbs/97743cc7-f55a-eb11-8117-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('289039c1-f55a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/victoria/the-duet/"" title=""The Duet"">
<img alt=""James Bay Duet condo 646 Michigan St Victoria BC"" src=""https://premiereweb.premieresuites.com/thumbs/97743cc7-f55a-eb11-8117-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",THEDUET,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Terrace']"
300 Front,Toronto,3.3,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'Fully Furnished', 'In-suite Laundry', 'Concierge', 'Elevator', 'Balcony', 'Terrace', 'Garden', 'BBQ', 'Outdoor Space']",300 Front Toronto 3.3,https://premieresuites.com/furnished-apartments/toronto/300-front/,https://premiereweb.premieresuites.com/thumbs/ed081d24-f6e8-4f01-89b7-57cb36f8217c_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('ac5c3304-c35a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/toronto/300-front/"" title=""300 Front"">
<img alt=""300 Front - Kitchen"" src=""https://premiereweb.premieresuites.com/thumbs/ed081d24-f6e8-4f01-89b7-57cb36f8217c_thumbs.jpg""/>
</a>
</div>
</div>",300FRONT,Apartment Building,"['Fully Furnished', 'Furnished', 'Kitchen', 'In-suite Laundry', 'Balcony', 'Terrace', 'Patio', 'Private Balcony', 'Walk-in Closet', 'Tub', 'City View', 'Modern', 'Luxury']"
Residences Telus Sky,Calgary,1.0,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Balcony', 'Terrace', 'Garden']",Residences Telus Sky Calgary 1.0,https://premieresuites.com/furnished-apartments/calgary/residences-telus-sky/,https://premiereweb.premieresuites.com/thumbs/4fa1ba12-afa0-4be1-99ce-15093b2f5291_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('1a829c4c-4d92-eb11-811b-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/calgary/residences-telus-sky/"" title=""Telus Sky Residential"">
<img alt=""Telus Sky - Living Room 2"" src=""https://premiereweb.premieresuites.com/thumbs/4fa1ba12-afa0-4be1-99ce-15093b2f5291_thumbs.jpg""/>
</a>
</div>
</div>",RESIDENCES,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Balcony', 'Terrace', 'Private Balcony', 'Modern', 'Luxury', 'Premium']"
Ice Condos Ii,Toronto,4.6,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Concierge', 'Security', 'Elevator', 'Balcony', 'Terrace', 'Garden']",Ice Condos Ii Toronto 4.6,https://premieresuites.com/furnished-apartments/toronto/ice-condos-ii/,https://premiereweb.premieresuites.com/thumbs/c32385f3-a2e0-4c5b-b26d-c2639470792f_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('377f6f3d-e95a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/toronto/ice-condos-ii/"" title=""Ice Condos"">
<img alt=""ICE Condos - Living and Dining Room"" src=""https://premiereweb.premieresuites.com/thumbs/c32385f3-a2e0-4c5b-b26d-c2639470792f_thumbs.jpg""/>
</a>
</div>
</div>",ICECONDOSI,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Balcony', 'Terrace', 'Private Balcony', 'Tub', 'City View', 'Modern']"
Circa 2,Markham,4.5,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'Fully Furnished', 'In-suite Laundry', 'Concierge', 'Elevator', 'Balcony', 'Terrace', 'Garden']",Circa 2 Markham 4.5,https://premieresuites.com/furnished-apartments/markham/circa-2/,https://premiereweb.premieresuites.com/thumbs/f7ce2fc5-56d7-41ff-af4a-f80900c05e2f_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('7ee5a9ea-e45a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/markham/circa-2/"" title=""Circa II"">
<img alt=""Circa 2 - Living room"" src=""https://premiereweb.premieresuites.com/thumbs/f7ce2fc5-56d7-41ff-af4a-f80900c05e2f_thumbs.jpg""/>
</a>
</div>
</div>",CIRCA2,Apartment Building,"['Fully Furnished', 'Furnished', 'Kitchen', 'In-suite Laundry', 'Balcony', 'Terrace', 'Private Balcony', 'Tub', 'Luxury', 'Premium']"
Hudson,Vancouver,4.3,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Concierge', 'Elevator', 'Terrace', 'Garden', 'Outdoor Space']",Hudson Vancouver 4.3,https://premieresuites.com/furnished-apartments/vancouver/hudson/,https://premiereweb.premieresuites.com/thumbs/242e49bc-6996-eb11-811b-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('af73db24-e95a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/vancouver/hudson/"" title=""Hudson"">
<img alt=""Living Room (2503)"" src=""https://premiereweb.premieresuites.com/thumbs/242e49bc-6996-eb11-811b-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",HUDSON,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Terrace', 'Patio', 'Queen Bed']"
Five West,Calgary,5.0,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'Fully Furnished', 'In-suite Laundry', 'Concierge', 'Elevator', 'Balcony', 'Terrace', 'Garden', 'Storage', 'Bike Storage']",Five West Calgary 5.0,https://premieresuites.com/furnished-apartments/calgary/five-west/,https://premiereweb.premieresuites.com/thumbs/dd31c436-e75a-eb11-8117-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('be713a27-e75a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/calgary/five-west/"" title=""Five West"">
<img alt=""Kitchen &amp; Dining Room (1601)"" src=""https://premiereweb.premieresuites.com/thumbs/dd31c436-e75a-eb11-8117-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",FIVEWEST,Apartment Building,"['Fully Furnished', 'Furnished', 'Kitchen', 'In-suite Laundry', 'Washer', 'Dryer', 'Balcony', 'Terrace', 'Patio', 'Private Balcony', 'Walk-in Closet', 'Storage', 'Tub', 'Queen Bed', 'Modern', 'Premium']"
Boutique Lumeo,Brossard,5.0,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'Fully Furnished', 'In-suite Laundry', 'Elevator', 'Balcony', 'Terrace', 'Garden', 'BBQ', 'Outdoor Space']",Boutique Lumeo Brossard 5.0,https://premieresuites.com/furnished-apartments/brossard/boutique-lumeo/,https://premiereweb.premieresuites.com/thumbs/64f8ef04-cfb8-eb11-811d-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('5c299251-1092-eb11-811b-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/brossard/boutique-lumeo/"" title=""Boutique Lumeo"">
<img alt=""3 - Dining + Kitchen"" src=""https://premiereweb.premieresuites.com/thumbs/64f8ef04-cfb8-eb11-811d-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",BOUTIQUELU,Apartment Building,"['Fully Furnished', 'Furnished', 'Kitchen', 'In-suite Laundry', 'Balcony', 'Terrace', 'Patio', 'Private Balcony', 'City View', 'Modern', 'Luxury', 'Premium']"
Halton Terrace,Kanata,5.0,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Pet Friendly', 'In-suite Laundry', 'Terrace', 'Garden', 'Outdoor Space']",Halton Terrace Kanata 5.0,https://premieresuites.com/furnished-apartments/kanata/halton-terrace/,https://premiereweb.premieresuites.com/thumbs/fd5fe7a3-ca64-ec11-8129-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('a130a5f4-f75a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/kanata/halton-terrace/"" title=""The Halton"">
<img alt=""Living Room Free WiFi Fully Furnished Apartment Suite Kanata"" src=""https://premiereweb.premieresuites.com/thumbs/fd5fe7a3-ca64-ec11-8129-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",HALTONTERR,Apartment Building,"['Kitchen', 'In-suite Laundry', 'Terrace', 'Ensuite Bathroom']"
Cargill Path,Milton,4.5,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'Fully Furnished', 'In-suite Laundry', 'Terrace', 'Garden', 'Outdoor Space']",Cargill Path Milton 4.5,https://premieresuites.com/furnished-apartments/milton/cargill-path/,https://premiereweb.premieresuites.com/thumbs/72a17a35-048d-eb11-8119-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('6ea17a35-048d-eb11-8119-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/milton/cargill-path/"" title=""Cargill Path"">
<img alt=""Living Room Free WiFi Fully Furnished Apartment Suite Milton"" src=""https://premiereweb.premieresuites.com/thumbs/72a17a35-048d-eb11-8119-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",CARGILLPAT,Apartment Building,"['Fully Furnished', 'Furnished', 'Kitchen', 'Kitchenette', 'In-suite Laundry', 'Terrace']"
The Wetmore House,Fredericton,5.0,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Pet Friendly', 'In-suite Laundry', 'Terrace', 'Garden']",The Wetmore House Fredericton 5.0,https://premieresuites.com/furnished-apartments/fredericton/the-wetmore-house/,https://premiereweb.premieresuites.com/thumbs/e511f59e-c9cc-ed11-813b-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('50b69ea8-fa5a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/fredericton/the-wetmore-house/"" title=""The Wetmore House"">
<img alt=""Building"" src=""https://premiereweb.premieresuites.com/thumbs/e511f59e-c9cc-ed11-813b-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",THEWETMORE,Apartment Building,"['Kitchen', 'In-suite Laundry', 'Terrace']"
Bishop S Landing 1475,Halifax,4.5,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'WiFi', 'Furnished', 'Pet Friendly', 'Fully Furnished', 'In-suite Laundry', 'Concierge', 'Elevator', 'Balcony', 'Terrace', 'Garden', 'Outdoor Space', 'Storage', 'Bike Storage']",Bishop S Landing 1475 Halifax 4.5,https://premieresuites.com/furnished-apartments/halifax/bishop-s-landing-1475/,https://premiereweb.premieresuites.com/thumbs/2ec2ebc9-658b-eb11-8119-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('d2f03cb6-658b-eb11-8119-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/halifax/bishop-s-landing-1475/"" title=""Bishop's Landing LW75"">
<img alt=""Living Room Free WiFi Fully Furnished Apartment Waterview Suite Halifax NS"" src=""https://premiereweb.premieresuites.com/thumbs/2ec2ebc9-658b-eb11-8119-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",BISHOPSLAN,Apartment Building,"['Fully Furnished', 'Furnished', 'Kitchen', 'In-suite Laundry', 'Balcony', 'Terrace', 'Private Balcony', 'Storage', 'Tub', 'Premium']"
25 Colliers Lane,St John S,4.7,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'Fully Furnished', 'In-suite Laundry', 'Terrace', 'Garden', 'Outdoor Space', 'Storage']",25 Colliers Lane St John S 4.7,https://premieresuites.com/furnished-apartments/st-john-s/25-colliers-lane/,https://premiereweb.premieresuites.com/thumbs/571059df-6f97-ed11-8139-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('b3c1eed6-b895-ed11-8139-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/st-john-s/25-colliers-lane/"" title=""25 Colliers Lane"">
<img alt=""4 Kitchen Fully Equipped Five Appliances Stainless Steel St. John’s Newfoundland"" src=""https://premiereweb.premieresuites.com/thumbs/571059df-6f97-ed11-8139-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",25COLLIERS,Apartment Building,"['Fully Furnished', 'Furnished', 'Kitchen', 'Full Kitchen', 'In-suite Laundry', 'Terrace', 'Storage', 'Modern', 'Contemporary']"
Telus Garden,Vancouver,5.0,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Concierge', 'Elevator', 'Terrace', 'Garden', 'Outdoor Space']",Telus Garden Vancouver 5.0,https://premieresuites.com/furnished-apartments/vancouver/telus-garden/,https://premiereweb.premieresuites.com/thumbs/6c922d40-dc35-ec11-8123-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('9a5e75c6-528a-eb11-8119-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/vancouver/telus-garden/"" title=""Telus Gardens"">
<img alt=""Kitchen &amp; Living Room (2003)"" src=""https://premiereweb.premieresuites.com/thumbs/6c922d40-dc35-ec11-8123-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",TELUSGARDE,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Terrace', 'Patio', 'Tub', 'Luxury']"
The Excelsior 290,Winnipeg,5.0,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'Fully Furnished', 'In-suite Laundry', 'Elevator', 'Terrace', 'Garden', 'Outdoor Space', 'Storage', 'Bike Storage']",The Excelsior 290 Winnipeg 5.0,https://premieresuites.com/furnished-apartments/winnipeg/the-excelsior-290/,https://premiereweb.premieresuites.com/thumbs/07e58fdc-1897-eb11-811b-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('b76f0de7-f55a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/winnipeg/the-excelsior-290/"" title=""The Excelsior 290"">
<img alt=""EXC 290 - Living Room"" src=""https://premiereweb.premieresuites.com/thumbs/07e58fdc-1897-eb11-811b-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",THEEXCELSI,Apartment Building,"['Fully Furnished', 'Furnished', 'Kitchen', 'In-suite Laundry', 'Terrace', 'Storage', 'Contemporary']"
